id,name,description,full_description,institution_id,category,subcategory,duration,type,user_type,requirements,steps,is_digital,respaldo_legal,fecha_actualizado,fecha_revision
1,Renovación de DPI,Renovación del Documento Personal de Identificación vencido o próximo a vencer,Proceso para renovar tu Documento Personal de Identificación cuando esté vencido o próximo a vencer. Este trámite es esencial para mantener tu identificación oficial vigente.,550e8400-e29b-41d4-a716-446655440013,identidad,Documentos de identidad,5-7 días hábiles,mixto,persona,"DPI anterior (original y copia)|Partida de nacimiento certificada (no mayor a 6 meses)|Comprobante de residencia (no mayor a 3 meses)|Fotografías recientes tamaño cédula (2)","Solicitud en línea o presencial|Presentar documentos requeridos|Toma de fotografía y huellas|Pago de aranceles|Esperar tiempo de procesamiento|Recoger documento en oficina asignada",true,Decreto 90-2005 - Ley del Registro Nacional de las Personas,2024-12-15,2024-12-20
2,Inscripción de Empresa,Registro e inscripción de nueva empresa en el Registro Mercantil,Proceso completo para inscribir una nueva empresa en el Registro Mercantil General de la República. Incluye todos los pasos necesarios para la constitución legal.,550e8400-e29b-41d4-a716-446655440007,negocios,Registro empresarial,10-15 días hábiles,presencial,empresa,"Escritura pública de constitución|Testimonio de la escritura (3 copias)|Formulario de inscripción completo|Comprobante de pago de aranceles|Cédula del representante legal","Elaboración de escritura pública|Presentación en ventanilla del Registro|Revisión de documentos|Calificación registral|Inscripción definitiva|Entrega de patente de comercio",false,Código de Comercio - Decreto 2-70,2024-11-20,2024-12-18
3,Licencia de Construcción,Solicitud de licencia municipal para construcción de vivienda,Obtención de licencia municipal para construcción ampliación o remodelación de vivienda. Incluye revisión de planos y cumplimiento de normativas.,550e8400-e29b-41d4-a716-446655440003,vivienda,Permisos municipales,20-30 días hábiles,presencial,persona,"Planos arquitectónicos sellados|Planos estructurales|Escritura del terreno|Boleto de ornato vigente|Estudio de suelos|Formulario municipal completo","Presentación de documentos|Revisión técnica municipal|Inspección del terreno|Aprobación de planos|Pago de licencia|Entrega de licencia aprobada",false,Código Municipal - Decreto 12-2002,2024-10-30,2024-12-15
4,Inscripción Universitaria,Proceso de inscripción para nuevo ingreso a universidad pública,Proceso completo de inscripción para estudiantes de nuevo ingreso en universidades públicas. Incluye asignación de curso básico y matrícula.,550e8400-e29b-41d4-a716-446655440008,educacion,Educación superior,30-45 días,digital,persona,"Título de diversificado|Certificado de notas de diversificado|Partida de nacimiento|DPI vigente|Fotografías tamaño cédula|Comprobante de pago de examen","Pre-inscripción en línea|Pago de examen de admisión|Presentar examen|Consulta de resultados|Inscripción definitiva|Asignación de cursos",true,Ley Orgánica de la Universidad de San Carlos - Decreto 325,2024-12-01,2024-12-22
5,Certificado de Salud,Emisión de certificado médico para trámites laborales o académicos,Obtención de certificado de salud oficial requerido para trámites laborales académicos o migratorios. Incluye exámenes médicos básicos.,550e8400-e29b-41d4-a716-446655440013,salud,Certificaciones médicas,3-5 días hábiles,presencial,persona,"DPI vigente|Fotografía reciente|Comprobante de pago|Formulario de solicitud","Solicitud en centro de salud|Examen médico general|Exámenes de laboratorio|Evaluación médica|Emisión de certificado|Entrega de documento",false,Código de Salud - Decreto 90-97,2024-11-15,2024-12-19
6,Antecedentes Penales,Solicitud de certificación de antecedentes penales,Certificación oficial de antecedentes penales requerida para trámites laborales migratorios o académicos. Documento con validez legal.,550e8400-e29b-41d4-a716-446655440030,justicia,Certificaciones judiciales,2-3 días hábiles,digital,persona,"DPI vigente|Formulario de solicitud|Comprobante de pago en línea|Correo electrónico válido","Solicitud en línea|Pago electrónico|Verificación de identidad|Procesamiento de solicitud|Generación de certificado|Descarga del documento",true,Ley del Organismo Judicial - Decreto 2-89,2024-12-10,2024-12-21
7,Permiso de Trabajo,Obtención de permiso laboral para extranjeros,Proceso para obtener autorización de trabajo en Guatemala para ciudadanos extranjeros. Incluye verificación de antecedentes y documentación.,550e8400-e29b-41d4-a716-446655440014,trabajo,Permisos laborales,15-20 días hábiles,presencial,persona,"Pasaporte vigente|Visa de turista|Antecedentes penales del país de origen|Contrato de trabajo|Examen médico|Comprobante de pago","Presentación de documentos|Verificación de antecedentes|Evaluación médica|Revisión de contrato laboral|Aprobación ministerial|Entrega de permiso",false,Código de Trabajo - Decreto 1441,2024-11-25,2024-12-16
8,Registro de Marca,Inscripción de marca comercial,Proceso para registrar una marca comercial en el Registro de la Propiedad Intelectual. Protege los derechos de uso exclusivo de la marca.,550e8400-e29b-41d4-a716-446655440007,negocios,Propiedad intelectual,45-60 días hábiles,mixto,empresa,"Solicitud de registro|Diseño de la marca|Comprobante de pago|Poder notarial (si aplica)|Clasificación de productos/servicios","Presentación de solicitud|Examen de forma|Publicación en diario oficial|Período de oposiciones|Examen de fondo|Emisión de certificado",false,Ley de Propiedad Industrial - Decreto 57-2000,2024-10-15,2024-12-10
9,Certificado de Origen,Emisión de certificado de origen para exportaciones,Documento oficial que certifica el país de origen de mercancías para efectos de exportación y aprovechamiento de preferencias arancelarias.,550e8400-e29b-41d4-a716-446655440007,negocios,Comercio exterior,1-2 días hábiles,digital,empresa,"Factura comercial|Lista de empaque|Declaración del exportador|Registro de exportador|Comprobante de pago","Solicitud en línea|Carga de documentos|Verificación de información|Aprobación automática|Descarga de certificado|Envío por correo",true,Acuerdo Gubernativo 394-2006,2024-12-05,2024-12-18
10,Licencia Ambiental,Obtención de licencia para proyectos con impacto ambiental,Autorización ambiental requerida para proyectos que puedan generar impacto en el medio ambiente. Incluye evaluación de impacto ambiental.,550e8400-e29b-41d4-a716-446655440002,ambiente,Evaluación ambiental,60-90 días hábiles,presencial,empresa,"Estudio de impacto ambiental|Formulario de solicitud|Planos del proyecto|Comprobante de pago|Documentos legales del terreno","Presentación de estudio|Revisión técnica|Consulta pública|Evaluación de impacto|Resolución ministerial|Entrega de licencia",false,Ley de Protección y Mejoramiento del Medio Ambiente - Decreto 68-86,2024-09-30,2024-12-12